/Users/yahavcorcos/Desktop/gauntlet-workspace/wordbridge-app/venv/lib/python3.14/site-packages/openai/_compat.py:48: UserWarning: Core Pydantic V1 functionality isn't compatible with Python 3.14 or greater.
  from pydantic.v1.typing import (
<frozen runpy>:128: RuntimeWarning: 'app.jobs.worker' found in sys.modules after import of package 'app.jobs', but prior to execution of 'app.jobs.worker'; this may result in unpredictable behaviour
2025-11-12 00:58:32,482 - __main__ - ERROR - Upload 47 does not exist in database
2025-11-12 00:58:32,483 - __main__ - WARNING - Permanent failure processing upload 47: Upload 47 was not found.
2025-11-12 00:58:32,483 - __main__ - WARNING - Failed to process upload 47: Upload 47 was not found.
2025-11-12 01:02:19,528 - __main__ - INFO - Processing upload job 49...
2025-11-12 01:02:19,542 - __main__ - ERROR - Upload 49 not found. Checking database...
2025-11-12 01:02:19,542 - __main__ - ERROR - Upload 49 does not exist in database
2025-11-12 01:02:19,543 - __main__ - WARNING - Permanent failure processing upload 49: Upload 49 was not found.
2025-11-12 01:02:19,543 - __main__ - WARNING - Failed to process upload 49: Upload 49 was not found.
2025-11-12 01:05:25,664 - __main__ - INFO - Processing upload job 50...
2025-11-12 01:05:25,686 - __main__ - ERROR - Upload 50 not found. Checking database...
2025-11-12 01:05:25,687 - __main__ - ERROR - Upload 50 does not exist in database
2025-11-12 01:05:25,688 - __main__ - WARNING - Permanent failure processing upload 50: Upload 50 was not found.
2025-11-12 01:05:25,688 - __main__ - WARNING - Failed to process upload 50: Upload 50 was not found.
2025-11-12 01:07:14,389 - __main__ - INFO - Processing upload job 51...
2025-11-12 01:07:14,414 - __main__ - ERROR - Upload 51 not found. Checking database...
2025-11-12 01:07:14,415 - __main__ - ERROR - Upload 51 does not exist in database
2025-11-12 01:07:14,415 - __main__ - WARNING - Permanent failure processing upload 51: Upload 51 was not found.
2025-11-12 01:07:14,416 - __main__ - WARNING - Failed to process upload 51: Upload 51 was not found.
2025-11-12 01:09:35,664 - __main__ - INFO - Processing upload job 52...
2025-11-12 01:09:35,677 - __main__ - ERROR - Upload 52 not found. Checking database...
2025-11-12 01:09:35,677 - __main__ - ERROR - Upload 52 does not exist in database
2025-11-12 01:09:35,678 - __main__ - WARNING - Permanent failure processing upload 52: Upload 52 was not found.
2025-11-12 01:09:35,678 - __main__ - WARNING - Failed to process upload 52: Upload 52 was not found.
2025-11-12 01:10:04,290 - __main__ - INFO - Processing upload job 53...
2025-11-12 01:10:04,302 - __main__ - ERROR - Upload 53 not found. Checking database...
2025-11-12 01:10:04,303 - __main__ - ERROR - Upload 53 does not exist in database
2025-11-12 01:10:04,303 - __main__ - WARNING - Permanent failure processing upload 53: Upload 53 was not found.
2025-11-12 01:10:04,303 - __main__ - WARNING - Failed to process upload 53: Upload 53 was not found.
